timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653695778463,14,获取交易信息,200,OK,资金系统 2-970,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,14,0,0
1653695778477,15,获取账户余额,200,OK,资金系统 2-970,,true,,383,229,1,2,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,15,0,0
1653695778491,26,个人开户,200,OK,开户相关 1-974,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,26,0,0
1653695778517,18,资金账户开户,200,OK,开户相关 1-974,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,18,0,0
1653695778535,18,法人证券账户开户,200,OK,开户相关 1-974,,true,,418,617,1,1,http://47.99.194.140:3001/security/corporateOpen,18,0,0
1653695778553,39,资金转账,200,OK,资金系统 2-971,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,39,0,1
1653695778592,12,获取交易信息,200,OK,资金系统 2-971,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,12,0,0
1653695778604,12,获取账户余额,200,OK,资金系统 2-971,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,12,0,0
1653695778625,29,个人开户,200,OK,开户相关 1-975,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,29,0,0
1653695778654,19,资金账户开户,200,OK,开户相关 1-975,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,19,0,0
1653695778673,20,法人证券账户开户,200,OK,开户相关 1-975,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,20,0,0
1653695778689,53,资金转账,200,OK,资金系统 2-972,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,53,0,1
1653695778742,14,获取交易信息,200,OK,资金系统 2-972,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,14,0,0
1653695778756,14,获取账户余额,200,OK,资金系统 2-972,,true,,383,229,1,2,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,14,0,0
1653695778764,25,个人开户,200,OK,开户相关 1-976,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,25,0,0
1653695778789,17,资金账户开户,200,OK,开户相关 1-976,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,17,0,0
1653695778806,19,法人证券账户开户,200,OK,开户相关 1-976,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,19,0,0
1653695778824,39,资金转账,200,OK,资金系统 2-973,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,39,0,1
1653695778863,12,获取交易信息,200,OK,资金系统 2-973,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,12,0,0
1653695778875,11,获取账户余额,200,OK,资金系统 2-973,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,11,0,0
1653695778897,31,个人开户,200,OK,开户相关 1-977,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,31,0,1
1653695778928,17,资金账户开户,200,OK,开户相关 1-977,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,17,0,0
